小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
浸信宣道會呂明才小學,2025,120,80,66.67%,浸信會呂明才中學(Band 1A):35人; 聖公會曾肇添中學(Band 1A):8人; 沙田崇真中學(Band 1A):2人; 協恩中學(Band 1A):4人; 港大同學會書院(Band 1A):4人
福德學社小學,2025,48,19,39.58%,聖母玫瑰書院(Band 1B):1人; 東華三院甲寅年總理中學(Band 1B):6人; 田家炳中學(Band 1B):2人; 東華三院李嘉誠中學(Band 1C):1人; 聖公會陳融中學(Band 1C):9人
鳳溪廖潤琛紀念學校,2025,96,30,31.25%,香港道教聯合會鄧顯紀念中學(Band 1A):2人; 東華三院甲寅年總理中學(Band 1B):6人; 田家炳中學(Band 1B):6人; 風采中學（教育評議會主辦）(Band 1B):1人; 王肇枝中學(Band 1B):1人
香港嘉諾撒學校,2022,144,111,77.08%,庇理羅士女子中學(Band 1A):6人; 張祝珊英文中學(Band 1A):7人; 香港中國婦女會中學(Band 1A):3人; 聖馬可中學(Band 1A):6人; 聖保祿學校(Band 1A):1人
香港嘉諾撒學校,2023,144,105,72.92%,庇理羅士女子中學(Band 1A):6人; 張祝珊英文中學(Band 1A):10人; 香港中國婦女會中學(Band 1A):2人; 聖馬可中學(Band 1A):3人; 聖保祿學校(Band 1A):3人
香港嘉諾撒學校,2024,144,113,78.47%,庇理羅士女子中學(Band 1A):16人; 聖馬可中學(Band 1A):8人; 張祝珊英文中學(Band 1A):5人; 香港中國婦女會中學(Band 1A):5人; 聖士提反女子中學(Band 1A):4人
香港嘉諾撒學校,2025,144,112,77.78%,庇理羅士女子中學​​(Band 1A):14人; 張祝珊英文中學(Band 1A):11人; 香港中國婦女會中學(Band 1A):8人; 聖馬可中學(Band 1A):8人; 英華女學校(Band 1A):3人
浸信會沙田圍呂明才小學,2025,120,94,78.33%,喇沙書院(Band 1A):5人; 瑪利諾修院學校（中學部）(Band 1A):3人; 協恩中學(Band 1A):4人; 聖保羅男女中學(Band 1A):1人; 德望學校(Band 1A):4人
聖公會仁立小學,2024,120,80,66.67%,聖公會林護紀念中學(Band 1A):42人; 瑪利諾修院學校(中學部)(Band 1A):1人; 協恩中學(Band 1A):1人; 港大同學會書院(Band 1A):1人; 聖保羅男女中學(Band 1A):1人
聖公會仁立小學,2025,120,86,71.67%,聖公會林護紀念中學(Band 1A):48人; 皇仁書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 荃灣官立中學(Band 1A):2人; 寶血會上智英文書院(Band 1A):1人
道教青松小學,2025,120,47,39.17%,保良局百周年李兆忠紀念中學(Band 1A):4人; 保良局董玉娣中學(Band 1A):4人; 順德聯誼總會梁銶琚中學(Band 1A):6人; 迦密柏雨中學(Band 1A):1人; 華仁書院（九龍）(Band 1B):2人
香港潮陽小學,2025,120,37,30.83%,天主教崇德英文書院(Band 1A):3人; 新界鄉議局元朗區中學(Band 1B):7人; 基督教香港信義會元朗信義中學(Band 1B):14人; 保良局顏寶鈴書院(Band 1B):1人; 聖公會白約翰會督中學(Band 1C):2人
循道学校,2025,96,63,65.62%,英皇书院(Band 1A):1人; 圣保禄学校(Band 1A):2人; 协恩中学(Band 1A):2人; 港大同学会书院(Band 1A):3人; 旅港开平商会中学(Band 1A):1人
吳氏宗親總會泰伯紀念學校,2023,96,29,30.21%,聖公會曾肇添中學(Band 1A):7人; 沙田崇真中學(Band 1A):4人; 聖公會林裘謀中學(Band 1B):3人; 沙田蘇浙公學(Band 1B):1人; 沙田培英中學(Band 1B):2人
吳氏宗親總會泰伯紀念學校,2025,96,24,25.0%,聖公會曾肇添中學(Band 1A):3人; 沙田崇真中學(Band 1A):6人; 拔萃男書院(Band 1B):1人; 沙田培英中學(Band 1B):2人; 沙田蘇浙公學(Band 1B):1人
聖類斯中學(小學部),2025,58,40,68.97%,皇仁書院(Band 1A):1人; 英華書院(Band 1A):1人; 聖馬可中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 英皇書院(Band 1A):2人
英皇書院同學會小學第二校,2024,72,56,77.78%,英皇書院(Band 1A):14人; 皇仁書院(Band 1A):2人; 英華女學校(Band 1A):5人; 聖士提反女子中學(Band 1A):3人; 聖保羅書院(Band 1A):2人
英皇書院同學會小學第二校,2025,72,50,69.44%,英皇書院(Band 1A):14人; 皇仁書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 英華女學校(Band 1A):3人; 聖士提反女子中學(Band 1A):3人
大埔舊墟公立學校,2025,96,75,78.12%,聖保羅男女中學(Band 1A):1人; 拔萃女書院(Band 1A):2人; 皇仁書院(Band 1A):1人; 協恩中學(Band 1A):1人; 喇沙書院(Band 1A):3人
中華基督教會基灣小學（愛蝶灣）,2025,96,71,73.96%,聖保羅男女中學(Band 1A):1人; 協恩中學(Band 1A):1人; 皇仁書院(Band 1A):2人; 英華女學校(Band 1A):1人; 德望學校(Band 1A):2人
聖公會田灣始南小學,2025,120,81,67.5%,聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):3人; 英華女學校(Band 1A):5人; 聖保祿學校(Band 1A):1人; 聖保羅書院(Band 1A):1人
藍田循道衞理小學,2025,120,68,56.67%,華英中學(Band 1A):3人; 迦密中學(Band 1A):2人; 庇理羅士女子中學(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):1人
滬江小學,2025,96,63,65.62%,拔萃女書院(Band 1A):1人; 聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):2人; 香港中國婦女會中學(Band 1A):9人; 聖馬可中學(Band 1A):6人
聖安當小學,2024,120,60,50.0%,喇沙書院(Band 1A):2人; 寶血會上智英文書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 張祝珊英文中學(Band 1A):2人; 聖馬可中學(Band 1A):2人
聖安當小學,2025,120,52,43.33%,皇仁書院(Band 1A):1人; 喇沙書院(Band 1A):2人; 張祝珊英文中學(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 聖馬可中學(Band 1A):1人
聖公會聖提摩太小學,2023,72,38,52.78%,瑪利諾修院學校(中學部)(Band 1A):1人; 聖保羅書院(Band 1A):1人; 華英中學(Band 1A):8人; 嘉諾撒聖瑪利書院(Band 1A):1人; 旅港開平商會中學(Band 1A):11人
聖公會聖提摩太小學,2024,72,32,44.44%,瑪利諾修院學校（中學部）(Band 1A):1人; 旅港開平商會中學(Band 1A):10人; 華英中學(Band 1A):6人; 保良局第一張永慶中學(Band 1A):1人; 迦密中學(Band 1A):1人
油蔴地天主教小学（海泓道）,2025,120,95,79.17%,荃灣官立中學(Band 1A):1人; 瑪利諾修院學校(中學部)(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):5人; 迦密中學(Band 1A):3人
油蔴地天主教小学,2025,120,84,70.0%,喇沙書院(Band 1A):2人; 協恩中學(Band 1A):2人; 皇仁書院(Band 1A):1人; 聖保羅男女中學(Band 1A):1人; 聖保羅書院(Band 1A):1人
保良局林文燦英文小學,2025,96,80,83.33%,沙田崇真中學(Band 1A):1人; 喇沙書院(Band 1A):4人; 瑪利諾修院學校(中學部)(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 華英中學(Band 1A):1人
